time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,Unnamed: 37,accel
0.32899999999999996,0.007059327,-0.01351692,0.02733724,-0.1277797,0.07134815,0.03077408,-0.08526769,0.27333409999999997,0.1562509,349.1096,6.049936,338.7583,0.01721998,-0.0019243560000000001,0.005606125,0.2179425,0.1135712,-0.2555228,-0.3133698,0.28189949999999997,0.175895,303.7774,146.2767,151.3694,-0.08334786,-0.10779269999999999,-0.01121128,0.3195958,-0.5058796,-0.8300976999999999,0.13511120000000001,0.3195677,0.22387420000000002,325.2004,345.6877,44.06848,,
12.915,0.0076638830000000015,-0.01373422,0.02560233,-0.1274552,0.07101793,0.04846481,-0.0851301,0.27318200000000004,0.1565645,349.2275,6.0590150000000005,338.7008,0.01589656,-0.00115599,0.00571703,0.1782737,0.13534010000000002,-0.2669382,-0.3123111,0.281451,0.1768029,303.8206,145.8026,151.8626,-0.07713184,-0.09751664,-0.008144967,0.32412070000000004,-0.5274068000000001,-0.7562011,0.134626,0.31872459999999997,0.2239319,325.3393,345.361,44.90197,,0.0008164675035754005
26.084,0.008086491999999999,-0.014150999999999999,0.02416151,-0.1255956,0.06528300000000001,0.054746800000000005,-0.08499652,0.2729663,0.1568124,349.3353,6.063371,338.6733,0.01243327,-0.0006178687000000001,0.004681454,0.1223759,0.1343672,-0.2297995,-0.3115157,0.281112,0.17742829999999998,303.8235,145.7311,152.0008,-0.07016557,-0.08391003,-0.003532035,0.3186843,-0.5477526999999999,-0.682083,0.1340925,0.3182288,0.2239583,325.5143,345.1084,45.67554000000001,,0.001033230313615309
40.218,0.008530279,-0.01463876,0.022509,-0.1230731,0.06174293,0.05782798,-0.08489871,0.2727765,0.157051,349.4514,6.082542,338.6348,0.007013798000000001,-0.0006655650999999999,0.002389553,0.04764359,0.13446639999999999,-0.15181329999999998,-0.31086640000000004,0.28080279999999996,0.1780264,303.8254,145.8876,151.9501,-0.06246161,-0.06548727,0.0007360410000000001,0.224948,-0.46615379999999995,-0.5487529999999999,0.1336082,0.31802670000000005,0.22395720000000002,325.6719,344.9458,46.022690000000004,,0.0013034356869958959
54.191,0.008916344,-0.01461394,0.02060061,-0.1313996,0.05832954,0.0531194,-0.08475238,0.2726091,0.15722370000000002,349.5838,6.086278,338.6285,0.004662545,-0.002024198,0.0004433423000000001,0.02396167,0.16063039999999998,-0.10145710000000001,-0.31029670000000004,0.2805433,0.17845899999999998,303.9072,145.8157,152.116,-0.05203413,-0.050687699999999995,0.007302498,-0.05393858,-0.32023709999999994,-0.3672068,0.13354660000000002,0.31793449999999995,0.22413989999999998,326.0392,344.8133,45.7662,,0.001059154798540042
67.704,0.009516568000000001,-0.01416791,0.01875627,-0.137248,0.05758002,0.04339435,-0.08456492,0.2724118,0.1574412,349.7071,6.087299,338.6357,0.0035985220000000007,-0.004635708,-0.001867256,0.02939916,0.2048623,-0.05087038,-0.30979270000000003,0.2801875,0.1787697,304.0747,145.7169,152.3404,-0.0413289,-0.03984594,0.02083832,-0.46069319999999997,-0.18393110000000001,-0.1308668,0.13318470000000002,0.3185365,0.22478249999999997,326.7184,344.8157,44.90305,,0.0008023207281876711
81.497,0.01012066,-0.01387961,0.01708269,-0.1402519,0.05724087,0.04095902,-0.08438528,0.2722843,0.1576408,349.8366,6.095732,338.6145,0.004055063,-0.00733701,-0.0035843290000000002,0.06247094,0.23792399999999997,-0.01538488,-0.30934120000000004,0.2797918,0.1789166,304.3179,145.6073,152.5567,-0.03361356,-0.02669339,0.031752800000000005,-0.8231850000000001,-0.01844019,0.03533581,0.13355150000000002,0.3188025,0.22483850000000002,327.433,344.7143,43.82839,,0.0009535670267527004
95.67399999999999,0.01070692,-0.01377439,0.01599102,-0.13235070000000002,0.049739,0.03225002,-0.08424377,0.27208509999999997,0.1578747,349.9174,6.106994,338.6203,0.006520108,-0.01290983,-0.006376415,0.1577537,0.2911538,0.04066315,-0.3086865,0.279092,0.1790182,304.8747,145.4483,152.7823,-0.02468051,-0.01539792,0.04442025,-1.101146,0.07688484,0.1783918,0.1332763,0.31978140000000005,0.2260776,328.225,344.69300000000015,42.65299,,0.0007967461381110253
109.402,0.01122585,-0.01427749,0.01540354,-0.11125879999999999,0.04008862,0.03699688,-0.08411294,0.27185159999999997,0.15806420000000002,349.9762,6.125292,338.5782,0.008166656,-0.01696096,-0.008355035,0.23698539999999998,0.2995064,0.09788349,-0.3080844,0.2783949,0.17897539999999998,305.3104,145.4367,152.7243,-0.02620644,-0.02019732,0.06332736,-1.394729,0.01245761,0.21717870000000009,0.1329375,0.32016100000000003,0.2271477000000001,329.4414,344.56300000000016,41.613609999999994,,-0.00034960664335664316
122.941,0.01149025,-0.01356705,0.01410476,-0.1028719,0.04388667,0.05908179,-0.0839743,0.27172820000000003,0.15821860000000001,350.0748,6.1361669999999995,338.4969,0.007253752,-0.02014247,-0.01071158,0.2791002,0.28082690000000005,0.1873878,-0.3073723,0.2774475,0.17880420000000002,305.7497,145.6621,152.4052,-0.03571465,-0.04379634,0.09005901,-1.8175830000000002,-0.16385170000000002,0.1691866,0.13306310000000002,0.31969179999999997,0.22794850000000005,331.3267,344.2558,40.55936,,-0.001743040106359406
137.09,0.01168153,-0.01248906,0.01321653,-0.08569261,0.04476897,0.08445616,-0.08380878,0.2716166,0.1584065,350.1408,6.159117,338.3895,0.007899910999999999,-0.02661854,-0.01438183,0.3594485,0.3380207,0.2805324,-0.30677009999999993,0.2763399,0.17828129999999998,306.4409,145.8791,152.1157,-0.04146426,-0.08987793,0.1218406,-2.263202,-0.4370345000000001,0.06527874,0.13328199999999998,0.31885990000000003,0.2311957000000001,333.7452,343.8938,39.53141,,-0.00325687963813697
151.099,0.01173651,-0.01133869,0.01235279,-0.06974468,0.05035305,0.10284549999999999,-0.08364904,0.2714886,0.1585872,350.2068,6.16326,338.2816,0.005969942,-0.02869217,-0.01612879,0.3405058,0.40378000000000003,0.30642990000000003,-0.30618609999999996,0.2749179,0.1773804,307.0107,146.085,152.0416,-0.06111666,-0.10419819999999999,0.1150108,-2.2399299999999998,-0.5109345000000001,-0.21876199999999998,0.1318894,0.3195196,0.230674,335.4907,343.1846,39.26525,,-0.0010222192876008288
