time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.303,0.02646583,-0.006229226,-0.03754601,-0.0938449,-0.04141567,0.08486611,0.009023428,0.02079892,-0.03962779,2.021087,0.9279243,357.2329,-0.136755,0.9627709,0.5343421,1.66766,-0.2995561,1.262782,-0.1522211,-0.5220029,0.1720024,338.1527,330.8666,354.0126,0.02801204,1.0479,0.586022,1.57072,0.7767031,-1.723215,0.1729705,-0.5240387,0.1825496,5.202516,9.633821,6.013619,
12.882,0.02794098,-0.008574041,-0.04107787,-0.09009054,-0.06751686,0.07327119,0.00943464,0.02061659,-0.04026395,2.060938,1.023594,357.1914,-0.1929397,1.114555,0.5738742,2.081448,-0.206668,1.136411,-0.1558813,-0.5038089,0.1817442,336.4129,329.8885,355.8391,0.1044118,1.218027,0.6280429,1.930312,0.2660042,-1.020498,0.1763324,-0.5024823,0.1914658,3.39828,10.11986,4.883721,
26.611,0.02972252,-0.01008745,-0.04438434,-0.07930262,-0.08708239,0.06520826,0.009840965,0.02043492,-0.04092538,2.093017,1.125805,357.1471,-0.2219817,1.221874,0.5932652,2.324849,-0.1988712,1.082765,-0.1593005,-0.4851511,0.1912735,334.6983,329.0526,357.6975,0.1636356,1.400359,0.6385121,2.589271,0.0194826,0.2514958,0.1803493,-0.4793435,0.1999158,1.238484,10.04847,1.530336,
40.405,0.03062838,-0.01072393,-0.04681759,-0.06825533,-0.1038075,0.06039921,0.01026827,0.02032721,-0.04161149,2.133568,1.215173,357.1024,-0.2498042,1.391276,0.6114035,2.613658,-0.2759838,1.056668,-0.1631632,-0.4621503,0.201162,332.8946,328.1781,0.01734699,0.2167588,1.6121,0.6330844,3.267751,-0.03644728,1.782187,0.1851914,-0.4533846,0.2083167,358.9812,9.544636,356.3517,
54.202,0.03157557,-0.01033302,-0.04878289,-0.06317524,-0.1030364,0.0454665,0.01067865,0.02018431,-0.04228246,2.171443,1.300457,357.1024,-0.2588164,1.516938,0.6039711,2.821346,-0.3622813,1.136436,-0.1667531,-0.4390358,0.2098865,330.947,327.4602,2.359179,0.2472222,1.813801,0.603812,3.751186,0.01356582,2.400452,0.1887349,-0.4250477,0.215753,356.2578,9.168167,352.2452,
68.148,0.03264875,-0.009906661,-0.05078906,-0.07414728,-0.08981141,0.02865758,0.01117599,0.02005044,-0.04301041,2.263317,1.345577,357.1086,-0.2626266,1.6599,0.5636641,3.119327,-0.3785832,1.365524,-0.1704246,-0.4140115,0.2170951,328.494,326.6429,5.001258,0.2429405,2.007477,0.542994,4.189081,0.1571472,2.035999,0.1914347,-0.39495,0.2209717,352.6034,8.709561,350.0685,
82.052,0.03284033,-0.01094471,-0.05256659,-0.09779648,-0.08628664,0.01573631,0.01164043,0.01980528,-0.04371482,2.376183,1.419885,357.109,-0.2651562,1.791929,0.4953039,3.386821,-0.2332689,1.619292,-0.1743117,-0.387144,0.2237116,325.7299,325.5316,7.730246,0.2181328,2.208242,0.4351109,4.675553,0.0981899,1.008875,0.1934664,-0.3627135,0.2251394,347.9028,8.415319,349.7195,
95.559,0.03354502,-0.01219651,-0.05511891,-0.1280484,-0.06991228,0.02226879,0.01213795,0.01964369,-0.04454726,2.540453,1.447896,357.0785,-0.2677416,1.901438,0.4018162,3.691626,0.07274368,1.856756,-0.1776309,-0.3605896,0.2283033,322.6048,323.8474,10.77167,0.1920722,2.343236,0.3120398,5.079885,-0.04391832,0.3142297,0.1957059,-0.331306,0.2265531,343.0317,8.130983,349.4201,
109.773,0.0338071,-0.0140475,-0.05770194,-0.151126,-0.05760334,0.03054973,0.01261389,0.01932847,-0.04545039,2.690382,1.480359,357.04,-0.2608329,1.978519,0.3141546,3.750534,0.3547076,1.956807,-0.1810449,-0.3327126,0.232804,319.7458,322.1386,13.60242,0.1734139,2.417722,0.1946919,5.170561,-0.2174061,-0.05664641,0.1980789,-0.30007,0.2289506,338.6552,7.954758,349.1013,
123.633,0.03280399,-0.01646217,-0.06034223,-0.17494,-0.05853237,0.05469355,0.0130257,0.01908264,-0.04636872,2.869632,1.53078,356.9441,-0.238299,2.034266,0.2124375,3.777487,0.7634914,2.08344,-0.1833724,-0.3055603,0.2349202,316.575,320.1393,16.36456,0.1752975,2.440488,0.09025159,4.980641,-0.4187534,-0.07963108,0.2005802,-0.2690474,0.2289209,334.9858,8.2701,348.4256,
137.293,0.03247118,-0.01791273,-0.06235895,-0.1841658,-0.05061656,0.06969233,0.01350176,0.01883307,-0.04727006,3.030983,1.555715,356.8841,-0.1996053,2.072128,0.1016398,3.75279,1.206656,2.208938,-0.1854961,-0.277597,0.2362095,313.1533,318.006,19.04101,0.179769,2.443124,-0.01765671,4.857018,-0.3948733,0.1026721,0.2033429,-0.2377894,0.2266781,331.5161,8.591082,347.1092,
151.024,0.03205134,-0.01833469,-0.06455911,-0.1983316,-0.04270701,0.06888016,0.01399022,0.01859158,-0.04824138,3.216695,1.57587,356.8556,-0.1600351,2.091648,-0.01750153,3.818588,1.599204,2.312501,-0.1873344,-0.2504008,0.2356143,309.5089,315.4464,22.23868,0.1858976,2.427703,-0.1428875,4.938316,-0.5148228,0.2811315,0.2051835,-0.2079829,0.2241059,327.5946,9.399931,345.5168,
