time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,Unnamed: 37,accel
0.387,-0.01125377,0.02875276,-0.0034762409999999997,-0.01567085,0.1626717,-0.11600029999999999,-0.2167627,0.2650946,0.3177709,359.5656,4.627631,356.963,-0.05057903,0.07155342,0.005933933000000001,-0.2145943,0.1104642,0.2193074,-0.44942829999999995,-0.01741695,0.43033370000000004,359.2828,316.2629,24.988529999999997,-0.03649244,0.2391681,0.02535524,0.6414477,-0.6760963000000001,-0.3257824,-0.08751702,0.1048066,0.542039,339.7068,348.5165,342.9398,,
14.748,-0.01115634,0.03416016,-0.002564416,-0.01115135,0.1437661,-0.12220460000000001,-0.2168618,0.2656759,0.31774240000000004,359.5484,4.542024,357.0846,-0.05349777,0.08568765,0.01457782,-0.2340022,0.116502,0.2560946,-0.45023850000000004,-0.01603175,0.4308178,358.9932,316.1921,24.77925,-0.01310416,0.2135025,0.04399277,0.35350149999999997,-0.6979289000000001,-0.2998317,-0.0869925,0.1071365,0.5433059,339.8477,348.9614,343.2873,,-0.0017871735951535397
26.419,-0.009996925,0.03882806,-0.0017864670000000001,-0.008524613,0.1247395,-0.14206470000000002,-0.2169863,0.2663109,0.3177481,359.5373,4.475278,357.2365,-0.05724772,0.10215360000000001,0.02136954,-0.2491121,0.14574279999999998,0.29948769999999997,-0.45106009999999996,-0.014462200000000001,0.43133540000000004,358.6362,316.0814,24.579420000000002,0.02248535,0.1956849,0.05515096,0.05997798,-0.6485918,-0.09258217,-0.0861668,0.1095298,0.5438451,340.0244,349.6831,343.0412,,-0.0015266558135549665
40.018,-0.008566225,0.04265234,-0.001229483,-0.01214545,0.11489080000000002,-0.1609924,-0.21704020000000002,0.26698790000000006,0.3177592,359.531,4.388237999999999,357.3945,-0.06118338,0.1182203,0.02710674,-0.2494887,0.1875667,0.33292849999999996,-0.45205559999999995,-0.01268855,0.4321324,358.2518,315.931,24.41819,0.04673012,0.18836989999999998,0.05002231,-0.03510205,-0.4090905,0.14336310000000002,-0.08508998,0.11176520000000001,0.5440592,339.978,350.0158,342.4622,,-0.0005379071990587555
53.713,-0.007257886,0.04536181,0.0005466929,-0.004611786,0.1075028,-0.1717626,-0.2171103,0.2676432,0.3178439,359.5057,4.3119190000000005,357.541,-0.06386114,0.1356609,0.03487308,-0.23690229999999995,0.219439,0.3709706,-0.4527145,-0.01080382,0.43274090000000004,357.837,315.8015,24.28591,0.06221024,0.1856246,0.03137459,0.01009215,-0.14920920000000001,0.33628179999999996,-0.08397767,0.11391910000000001,0.5439531,339.7186,350.0801,341.8008,,-0.00020046002190580344
67.813,-0.006662933,0.04684461,0.002784927,-0.0001783418,0.0921115,-0.1692295,-0.21715570000000003,0.26828909999999995,0.3179901,359.4701,4.258111,357.6484,-0.06404273,0.1470703,0.04407123,-0.207564,0.20440179999999997,0.3797011,-0.4539566,-0.00868669,0.43407029999999996,357.4939,315.7558,24.18109,0.06849644,0.18456070000000002,0.00747497,0.1179224,0.06324049999999999,0.40901370000000004,-0.08284987,0.1162471,0.5436305,339.3699,349.899,341.2999,,-7.545390070921835e-05
81.827,-0.005537178,0.04657871,0.0058321269999999995,0.02218512,0.07996959,-0.1550555,-0.21719410000000003,0.26890359999999996,0.3181792,359.4025,4.21916,357.7339,-0.06344187,0.15805270000000002,0.05261144,-0.191079,0.21016179999999998,0.40796209999999994,-0.45437299999999997,-0.006743511999999999,0.4346624,357.0796,315.6906,24.07304,0.07558165,0.1880142,-0.02566805,0.3464763,0.06852616,0.43779049999999997,-0.08142176,0.11789289999999998,0.5420322,338.6233,349.7605,341.13599999999997,,0.00024643213928928013
95.785,-0.004128245,0.04658527,0.009701361,0.03926852,0.06410284,-0.13798329999999998,-0.2171814,0.2695383,0.3184363,359.3244,4.191223,357.8054,-0.06172481,0.1673576,0.05876702,-0.2084857,0.2580409,0.45123599999999997,-0.4553299,-0.004703382,0.4360920999999999,356.5733,315.5366,23.92026,0.08296245,0.18807839999999998,-0.05712797,0.5472912,-0.04901475,0.39478320000000006,-0.08029409,0.1200413,0.5414321,337.7731,349.6933,341.3007,,4.5995128241858785e-06
109.44,-0.003380418,0.04701484,0.01400594,0.05334857,0.04463149,-0.10861969999999999,-0.21720970000000003,0.27019190000000004,0.31878520000000005,359.2536,4.192737999999999,357.8223,-0.06012772,0.1699974,0.06952899,-0.2143731,0.2426433,0.434641,-0.4561414000000001,-0.002565111,0.4375099,356.2128,315.4587,23.76064,0.09001108,0.1770775,-0.07965033,0.6435444,-0.23275820000000003,0.2837252,-0.07874095,0.12090899999999999,0.5394262,337.0434,349.7387,341.7466,,-0.0008056316367630889
123.398,-0.00270726,0.04717175,0.0199777,0.07200995,0.02864649,-0.06258108,-0.2172637,0.2708798,0.3192968,359.1768,4.194173,357.7713,-0.05612565,0.172881,0.07620477,-0.22350879999999998,0.2829673,0.46184890000000006,-0.45627619999999997,-0.0008121352,0.438458,355.7166,315.2939,23.60776,0.09385198,0.140104,-0.08432904,0.5183412000000001,-0.42469350000000006,0.03331566,-0.0774477,0.122378,0.5382272,336.8944,349.8593,342.5025,,-0.0026489110187705974
