time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,Unnamed: 37,accel
0.327,0.0026251070000000002,-0.00017141740000000002,-0.005604741,-0.0016443039999999999,0.01479645,0.01155647,0.06085831,-0.06184226,-0.4121358,353.5989,354.0223,0.2606649,-0.00525195,0.005113013,0.002244535,0.05392406,0.02730548,-0.01094311,0.17272200000000001,-0.5850379,-0.2355047,27.230179999999997,19.94926,348.3749,-0.01075667,-0.008568165,-0.02387358,0.4920001,0.07333566,0.1233724,-0.06786886,-0.4996325,-0.2855835,12.81381,310.9114,4.40498,,
12.919,0.0028118320000000002,-0.00022678099999999998,-0.006754281,-0.002744162,0.01058209,0.01219445,0.06090459,-0.06185649,-0.4122682,353.5996,354.0235,0.2489799,-0.003786355,0.002416931,0.0001143715,0.04425101,0.016969400000000003,-0.002701103,0.1727017,-0.5850233,-0.235517,27.2059,19.926920000000006,348.3676,-0.01377618,-0.002349524,-0.02634641,0.3659447,0.09789587,0.1470795,-0.06794016,-0.4995191,-0.2857009,12.69674,310.8217,4.538425,,0.0004938564961880559
25.509,0.003353239,-0.0003543697,-0.007871626999999999,-0.001069962,0.008939584,0.005106768,0.06096774,-0.06187456,-0.4124143,353.5979,354.0183,0.2561466,-0.002004796,-0.0011364839999999999,-0.001332786,0.04477574,-0.01461742,0.02800653,0.1726975,-0.5850361999999999,-0.2355531,27.19933,19.89539,348.3199,-0.0112769,0.0091933,-0.02066242,0.2904811,0.03258373,0.19901259999999998,-0.06793489,-0.49923729999999994,-0.28590570000000004,12.45172,310.9329,4.662849,,0.0009168247815726767
39.256,0.0036141009999999998,-0.0003767289,-0.008884353000000001,0.0028678809999999996,0.0040022009999999995,-0.001867543,0.06101841,-0.06188422,-0.4125769,353.5909,354.0204,0.2721874,-0.0011460889999999999,-0.00010827530000000001,-0.0025979139999999998,0.07287243,-0.02756749,0.02016927,0.17271140000000001,-0.5850645000000001,-0.23562660000000002,27.160809999999998,19.84947,348.2419,-0.007832417,0.01681665,-0.009033635,0.1331427,-0.04959522,0.1482808,-0.06793468,-0.4990152,-0.2855926,12.412230000000001,310.9963,4.425468,,0.0005545464464974175
53.438,0.003814959,-0.00018962259999999998,-0.01005334,0.01128943,0.0009958955,-0.004842601,0.06105337,-0.06187794,-0.41277240000000004,353.5699,354.0218,0.2868327,0.001007843,-0.0007522864,-0.0034802690000000002,0.05649221,-0.04269515,0.03281637,0.172756,-0.5850689,-0.2356822,27.14695,19.82568,348.1731,-0.003790281,0.01548219,0.002353879,0.01336394,-0.11864080000000002,0.06069603,-0.06784801,-0.4990946,-0.2854218,12.48071,311.0399,4.2214160000000005,,-9.40953321111267e-05
67.393,0.004032913,0.00035301010000000004,-0.01127012,0.01508767,-0.001687748,-0.006735123000000001,0.06109551,-0.06185473,-0.4129821,353.5536,354.0249,0.299912,0.002834524,0.002014872,-0.004533913,0.06406854,-0.06452491,0.01528574,0.1727629,-0.5850248,-0.23584839999999999,27.108959999999996,19.819670000000002,348.0896,0.00296475,0.009350922,0.01679448,-0.04182398,-0.1937847000000001,-0.01625222,-0.06790065,-0.4991322,-0.2848434,12.51944,311.2705,4.047528,,-0.0004393599426728772
80.732,0.0042365070000000005,0.0009328587,-0.01218108,0.02261421,-0.0038176890000000004,-0.001156106,0.06116951,-0.06183219,-0.4131666,353.5192,354.0333,0.2967304,0.002570567,0.004513545999999999,-0.004063885,0.06324437,-0.05109717,-0.001372725,0.1728408,-0.5850063,-0.2357941000000001,27.073729999999998,19.81599,348.0475,0.0070541119999999995,0.0008154577,0.02962503,-0.07735589,-0.2234634,-0.1127653,-0.06801124,-0.498934,-0.2840134,12.731530000000001,311.5476,3.7905620000000004,,-0.0006398878701551841
94.925,0.004223742,0.001265019,-0.01303521,0.02725712,-0.0030943090000000004,-0.002455271,0.06123787,-0.06181128,-0.41336320000000004,353.4887,354.0302,0.3082957,0.001766846,0.005411954,-0.002771608,0.04643013,-0.016597900000000002,-0.02672699,0.17280839999999995,-0.5849415,-0.2359147,27.036579999999997,19.81812,348.0475,0.01269209,0.004446869,0.03691885,-0.1346548,-0.2382315,-0.07192353,-0.06718877,-0.4987549,-0.2837909,12.66492,311.6624,3.543309,,0.00025585931797364903
108.96799999999999,0.004170808,0.002289644,-0.0142246,0.02623923,0.0021530810000000003,-0.008294756,0.06129146,-0.06174842,-0.41361149999999997,353.4721,354.0105,0.3352354,0.0008607423,0.006073896,-0.002767412,0.05769779,-0.005781629,-0.05375555,0.17280820000000002,-0.584915,-0.2359645,26.96117000000001,19.82002,348.0489,0.01257007,-0.002345555,0.04038826,-0.07024914,-0.2015877,-0.21239380000000002,-0.06802005,-0.4984487,-0.2830262,13.07968,311.8177,3.5317589999999996,,-0.00048368753115431205
122.177,0.0036838120000000003,0.002709485,-0.01458473,0.03623904,0.01031126,-0.005458915999999999,0.06131983,-0.06169312,-0.4138509,353.4261,353.9836,0.33454079999999997,0.0003740136,-0.0026529640000000003,-0.0013596460000000002,-0.008408912,0.002648665,0.01968745,0.1728276,-0.5849274999999999,-0.2359511,26.99066,19.815839999999998,348.05,0.01546272,0.01148444,0.03524308,-0.2985062,-0.1578256,-0.06543875,-0.06644481,-0.498158,-0.2828113,12.78695,311.5495,2.904619,,0.0010470130214247848
