time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
193.886,-0.002651697,0.0003202219,0.006248103,0.003712946,0.006420752,-0.003590779,-0.01731984,0.158584,-0.6017302,358.7364,2.311537,357.5881,0.00595945,0.03401509,0.04412502,-0.1808868,0.04164862,0.01444647,-0.3386233,-0.6309436,-0.5583661,23.96357,11.03278,169.4441,-0.0001616319,0.002718277,0.001766978,-0.06002937,-0.01027462,0.0123292,0.1879776,-0.6296103,-0.6322151,18.29223,20.18077,185.0888
208.392,-0.002211595,0.0005646694,0.006674679,0.01094002,-0.001362737,0.002717537,-0.0173379,0.1586037,-0.6016219,358.7131,2.329353,357.571,0.01424551,0.03460327,0.04761159,-0.1350214,0.1580252,0.1281403,-0.3383959,-0.6306948,-0.557539,23.83049,11.40957,169.2392,0.004803285,0.003188143,0.002248498,-0.06911869,0.09314904,0.04638963,0.1879791,-0.6296206,-0.6321949,18.19615,20.31054,185.081
222.797,-0.001451236,0.0004578866,0.006923864,0.01498281,-0.0007952336,-0.001863393,-0.01733501,0.1586122,-0.6015161,358.6933,2.327876,357.5788,0.02260177,0.03174619,0.04706482,-0.06070476,0.238553,0.2391384,-0.3381249,-0.6304151,-0.5570714,23.80441,11.7975,168.9411,0.008493655,0.005201187,0.003615138,-0.09949909,0.1762282,0.1152898,0.1879722,-0.6296287,-0.6321456,18.00496,20.64903,184.971
237.317,-0.001082992,0.0001206758,0.007327324,0.01585221,1.894291e-05,-0.006243444,-0.01732861,0.1585968,-0.6014066,358.6785,2.325659,357.59,0.03141558,0.03012973,0.04446517,-0.02141272,0.2784244,0.2664513,-0.3376198,-0.6301619,-0.5564932,23.76468,12.12653,168.7768,0.01639297,0.01023036,0.006743834,-0.1450973,0.3791491,0.3503192,0.1879324,-0.6296138,-0.6320096,17.66938,21.59493,184.3585
251.457,-0.0005370803,-0.001216402,0.007558643,0.01475704,0.002103959,-0.009483964,-0.01729779,0.1585188,-0.6013052,358.6672,2.318117,357.6023,0.04132014,0.03031588,0.04159232,-0.02918437,0.2855006,0.2171935,-0.3367622,-0.6298392,-0.556102,23.6525,12.36535,168.7992,0.01538797,0.01287516,0.008251227,-0.1911491,0.3594166,0.3817626,0.1878786,-0.6295865,-0.6318374,17.39097,21.83635,184.0481
265.972,0.0002452317,-0.002266427,0.00794958,-0.004649811,-0.001662049,-0.006944284,-0.01725564,0.1584397,-0.6011871,358.7075,2.328485,357.6064,0.05665189,0.02712142,0.03263671,0.03352702,0.3437558,0.1113249,-0.3358985,-0.6294065,-0.5559078,23.72491,12.853,169.1,0.01471409,0.01422233,0.008919528,-0.2296403,0.3332216,0.3526781,0.1878233,-0.6295609,-0.6316459,17.10861,22.03529,183.8884
280.183,0.001194164,-0.003007787,0.008568877,-0.01686401,-0.01798203,-0.009634918,-0.01721362,0.1583776,-0.6010394,358.7501,2.388225,357.6224,0.05641829,0.04352064,0.03549274,-0.1429037,0.2525204,-0.05265256,-0.3352199,-0.6282443,-0.5553415,23.3002,12.76667,169.5088,0.01310467,0.01552576,0.009539664,-0.2890561,0.2717728,0.2634614,0.1877887,-0.6295555,-0.6314889,16.74717,22.11128,183.8844
293.397,0.002858867,-0.002502356,0.009410415,-0.02487356,-0.03264262,-0.01589748,-0.01712333,0.1583648,-0.6008723,358.7804,2.448391,357.6587,0.05148879,0.05988889,0.03605866,-0.2454496,0.1939369,-0.01531383,-0.3345232,-0.6272583,-0.5549998,22.88235,12.67717,169.4551,0.01067186,0.01532374,0.009273897,-0.3203263,0.1936606,0.1527988,0.1877771,-0.629572,-0.6313794,16.42648,22.08204,183.996
307.913,0.004296673,-0.001854531,0.01068674,-0.01627562,-0.05185581,-0.02412435,-0.01699246,0.1583588,-0.6006693,358.7522,2.529047,357.6937,0.0575199,0.06785233,0.03095375,-0.2303197,0.2048897,-0.01353393,-0.3336577,-0.6263338,-0.5548437,22.68954,12.83403,169.514,0.008544277,0.01516036,0.009050049,-0.3350476,0.1351852,0.09004397,0.1877794,-0.6296091,-0.6312768,16.12482,22.04678,184.0596
321.989,0.005382976,-0.00131066,0.01144741,-0.01151275,-0.06847047,-0.02905222,-0.01685061,0.1583573,-0.6004719,358.7539,2.607756,357.7295,0.06652694,0.07648547,0.02834335,-0.2784679,0.2468139,-0.09605017,-0.3325815,-0.6252366,-0.5545696,22.33338,13.06592,169.8739,0.006443303,0.01616001,0.009502772,-0.3600289,0.08628265,0.07277505,0.1877885,-0.6296563,-0.6311752,15.78598,21.99809,184.0233
336.401,0.006128744,-0.001864907,0.01117801,-0.02239522,-0.08882129,-0.02307867,-0.01673803,0.158317,-0.6003149,358.8015,2.721168,357.7334,0.07163134,0.08430532,0.0244822,-0.3148939,0.3278325,-0.006015427,-0.3319333,-0.6241643,-0.5544842,21.90501,13.40897,169.8456,0.004303421,0.01768454,0.01022748,-0.3959121,0.0358341,0.05849824,0.1878006,-0.6297008,-0.6310965,15.39876,21.90552,183.9774
350.163,0.007077385,-0.002391863,0.01030519,-0.04989142,-0.1125358,-0.02322336,-0.01663021,0.1582738,-0.6001976,358.904,2.862592,357.7798,0.07149182,0.09546335,0.01873523,-0.3541163,0.3949086,0.07444814,-0.3314487,-0.6228043,-0.5545343,21.42626,13.76893,169.7695,0.001476646,0.01785467,0.01017059,-0.4056038,-0.02794624,0.02659624,0.1878184,-0.6297499,-0.6310313,15.05855,21.73516,183.9736
364.138,0.00851109,-0.00269586,0.009071899,-0.07372979,-0.1276447,-0.04103645,-0.01647919,0.1582317,-0.6001117,358.994,3.001657,357.8679,0.06940874,0.1038594,0.01134612,-0.3146423,0.4156045,0.1555278,-0.3307096,-0.621242,-0.5546048,21.13966,14.08529,169.5964,-0.003097262,0.01789753,0.009999674,-0.4195085,-0.1328669,-0.03394292,0.187848,-0.6298125,-0.6309874,14.70495,21.39854,184.0305
378.152,0.009439663,-0.001647228,0.00822919,-0.0831893,-0.136306,-0.05915897,-0.01628981,0.1582387,-0.6000208,359.0453,3.100853,357.9633,0.0841177,0.1144925,0.0007292065,-0.1851039,0.5436255,0.2510222,-0.3292768,-0.6194004,-0.5547277,21.0373,14.78808,169.4142,-0.009610644,0.01663879,0.009025883,-0.4055966,-0.2746671,-0.1109761,0.187886,-0.6298752,-0.6309887,14.41544,20.87791,184.1322
392.143,0.01008529,0.0003748623,0.007815411,-0.07095003,-0.1301677,-0.07214683,-0.0161029,0.1583062,-0.5999212,359.0468,3.184918,358.0413,0.1180346,0.1187933,-0.008877737,-0.03283739,0.809163,0.3013984,-0.3272777,-0.617874,-0.554809,20.96416,16.04185,169.4387,-0.01742429,0.0153869,0.007885849,-0.3871566,-0.4397477,-0.1846408,0.1879359,-0.6299429,-0.6310408,14.14814,20.17629,184.2417
405.969,0.01031176,0.001838619,0.007865494,-0.04027428,-0.1194039,-0.07305609,-0.01595721,0.1583888,-0.5998155,358.9948,3.23946,358.0876,0.1543964,0.1176981,-0.01357065,0.08561049,1.062249,0.2910513,-0.3250416,-0.6164762,-0.5546064,20.88451,17.52094,169.6435,-0.02251799,0.01334565,0.006302107,-0.3552139,-0.5512916,-0.2626846,0.1879979,-0.6300151,-0.6311418,13.92319,19.48602,184.4263
420.119,0.01014313,0.002491974,0.007472916,-0.01634244,-0.1031913,-0.056595,-0.01583745,0.1584603,-0.5997332,358.9763,3.29026,358.0861,0.1999424,0.1171508,-0.009709688,0.1385249,1.42711,0.2276949,-0.3226958,-0.6151971,-0.5538338,20.61705,19.51373,170.1402,-0.02500567,0.01250967,0.00544705,-0.3443772,-0.6098438,-0.3121555,0.1880709,-0.630095,-0.6312709,13.66152,18.86627,184.6156
434.021,0.009888406,0.0005859045,0.005913902,-0.01590803,-0.07996518,-0.0339421,-0.0157115,0.1584059,-0.5997024,358.9995,3.304236,358.0691,0.2123198,0.1174267,-0.004327151,0.05483247,1.733096,0.2936628,-0.321782,-0.6141799,-0.5534946,19.93696,21.50186,170.321,-0.02625961,0.01185269,0.004747275,-0.3326076,-0.640213,-0.3413882,0.1881514,-0.6301804,-0.6314127,13.40178,18.27983,184.7957
448.415,0.009427479,-0.003509764,0.003377407,-0.04241002,-0.05272153,-0.004613601,-0.01558495,0.1582057,-0.5997287,359.1269,3.296379,358.0191,0.1750898,0.1116364,-0.006399328,-0.02276675,1.631229,0.535936,-0.3222174,-0.6134143,-0.5539585,19.32409,22.46821,169.6193,-0.02414494,0.01041565,0.003957096,-0.299271,-0.5944823,-0.3363802,0.1882346,-0.6302671,-0.631556,13.21481,17.88587,184.9574
462.364,0.009281859,-0.008059345,0.0002951118,-0.08474701,-0.02807859,0.01688637,-0.01545209,0.1579277,-0.5998177,359.2823,3.287359,357.9871,0.1091955,0.1007276,-0.01912698,-0.1042756,1.021805,0.5051904,-0.3223059,-0.6125994,-0.5552694,19.15095,21.94152,169.1252,-0.01808455,0.009705114,0.003965007,-0.2694008,-0.4561218,-0.2614432,0.1883083,-0.6303448,-0.6316725,13.05642,17.79434,184.9944
