time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
2.351,-0.008250531,0.001300461,-0.0002568827,0.008343612,0.01238871,-0.01969821,0.2926229,0.8179384,-0.5177367,1.409544,358.6296,358.8787,0.003934508,-0.002196711,0.001358385,-0.01418783,-0.0007425083,-0.01798362,0.01577031,0.0948591,-0.5016993,18.93757,18.89996,169.8071,-0.01513946,0.01195113,0.01108201,0.06224112,-0.1519644,-0.1422361,0.5569943,0.1247307,-0.4297378,7.713648,349.847,193.7314
36.67,-0.008252345,0.0007845847,-0.001882444,0.006263659,0.01054062,-0.004927846,0.2921709,0.8179809,-0.5178316,1.39011,358.5979,358.903,0.0005391293,0.0004235109,-4.83842e-05,-0.00457722,0.007985566,-0.0100463,0.01563836,0.0948849,-0.5017192,18.95573,18.90866,169.7803,-0.0212514,0.0178153,0.01877444,0.08460809,-0.2489379,-0.2065084,0.5566369,0.1256562,-0.4282359,7.71501,348.9025,194.4374
43.635,-0.008363394,0.001023896,-0.002064405,0.006691642,0.009981124,0.004710045,0.2919264,0.8180146,-0.5178957,1.377962,358.5813,358.8791,0.001706116,0.0002734755,0.0007965711,-0.007460807,0.00736185,-0.009317867,0.01582362,0.09494849,-0.5016705,18.92512,18.92278,169.8448,-0.01933033,0.01837919,0.01839397,0.05646995,-0.2279094,-0.1885501,0.5564919,0.1260121,-0.4280294,7.65212,348.5941,194.6813
57.395,-0.008419814,0.001489353,-0.002364227,0.011358,0.007202704,0.01345381,0.2917882,0.8180527,-0.5179442,1.354421,358.5812,358.8441,-0.0005714219,-0.0001872354,1.840669e-05,0.004510819,-0.005474974,-0.01096687,0.01580041,0.09497781,-0.5016846,18.92259,18.92414,169.8488,-0.0137522,0.01433409,0.01396896,0.03974818,-0.1409577,-0.107267,0.5565148,0.1258224,-0.4282624,7.680778,348.8104,194.4847
75.266,-0.008312184,0.001664814,-0.002963101,0.009797771,0.005660934,0.003649132,0.2916875,0.8180752,-0.5180127,1.351089,358.5828,358.8664,-0.002208648,-0.0003183028,0.0007858956,-0.01190322,-0.006234311,-0.01364068,0.01575939,0.09497403,-0.5016925,18.90284,18.92064,169.8575,-0.002990764,0.001292347,0.01040242,-0.03370403,0.001517555,0.07393834,0.5566453,0.1252241,-0.4286346,7.631018,349.117,194.1641
90.48,-0.00849988,0.0009890322,-0.003539258,0.007105486,0.004096718,-0.005161502,0.2915781,0.8180501,-0.5180869,1.35291,358.5857,358.8928,-0.002839036,0.0006771629,0.00261214,-0.04861214,0.002775849,-0.005881544,0.01570033,0.09491786,-0.5017093,18.85284,18.90974,169.8672,0.01103877,-0.01713341,0.004753868,-0.1240054,0.1939543,0.3173673,0.5566946,0.1236106,-0.4284587,7.435284,349.8269,193.1635
105.971,-0.008479026,0.0003520692,-0.004117428,0.00335371,0.002569106,-0.0140406,0.2914654,0.8180275,-0.5181677,1.360974,358.5893,358.926,-0.003672111,0.001184884,0.002266448,-0.04785363,0.001796015,0.002798507,0.01565599,0.09485289,-0.5016404,18.82756,18.89561,169.8665,0.02430988,-0.03067006,-0.005741746,-0.1828144,0.3711502,0.4875052,0.5568574,0.1228709,-0.4289016,7.326876,350.6006,192.3983
121.195,-0.008465653,0.0001682559,-0.00432273,0.00157691,-0.001226678,-0.02181799,0.2913494,0.8180232,-0.5182343,1.363261,358.6032,358.9672,-0.004613882,0.0003196669,-0.0001204588,-0.01265274,-0.01370904,-0.00402373,0.01561457,0.09486659,-0.5016642,18.83079,18.88455,169.8664,0.02705389,-0.0253419,-0.008558939,-0.1862577,0.3503383,0.3541579,0.5573791,0.122497,-0.4298291,7.209454,350.8841,192.4381
135.995,-0.008614329,0.0003114771,-0.004066688,0.006219067,-2.115014e-05,-0.0268109,0.2912381,0.8180314,-0.5182762,1.345725,358.595,358.9966,-0.005258778,0.001207277,-0.0009727149,-0.01615532,-0.01590827,-0.0008162726,0.01554218,0.09487372,-0.5016815,18.81653,18.86948,169.8629,0.03460523,-0.03466531,-0.01904515,-0.1336434,0.4399651,0.4758799,0.5573545,0.1221519,-0.4303162,7.368419,351.4149,191.8082
150.905,-0.008982826,0.0009299348,-0.003855312,0.007473297,0.0094318,-0.02417101,0.2911221,0.8180647,-0.5183151,1.341713,358.5546,359.0094,-0.006089888,0.001858302,-0.002553321,-0.007366825,-0.02366095,-0.01094825,0.0154853,0.09487782,-0.5017076,18.81513,18.84916,169.8671,0.03830118,-0.03177623,-0.02654375,-0.09441007,0.430213,0.3729992,0.5577134,0.1220813,-0.4310564,7.457222,351.7377,191.7872
165.652,-0.009232376,0.001467657,-0.00342285,0.01101064,0.02206675,-0.02231931,0.291002,0.8181025,-0.5183387,1.325099,358.519,359.0131,-0.007863642,0.002103166,-0.003683594,-0.004695902,-0.03089303,-0.01312011,0.01538771,0.09490402,-0.5017877,18.81453,18.81982,169.8708,0.03450118,-0.02314595,-0.03301814,-0.03112454,0.3390321,0.2149502,0.5580596,0.1221181,-0.4317845,7.581313,351.7786,191.9898
180.281,-0.009426707,0.001846966,-0.002783789,0.01733013,0.03326234,-0.0149836,0.2908643,0.8181441,-0.5183427,1.300943,358.463,359.0135,-0.009707293,0.003077933,-0.003158369,-0.02725272,-0.03764429,-0.0138476,0.01525389,0.09492815,-0.5018683,18.79427,18.7784,169.8741,0.02965194,-0.0200575,-0.03556543,0.04924929,0.2623481,0.1217924,0.5583074,0.1219506,-0.4320398,7.808679,351.7679,192.1135
194.466,-0.009203109,0.002133129,-0.002098226,0.02123082,0.04222267,-0.004701485,0.2907453,0.8181872,-0.5183365,1.273651,358.4098,358.9925,-0.0126959,0.004876675,-0.001957044,-0.05883818,-0.08343394,-0.04195096,0.01507985,0.09499604,-0.5019408,18.748,18.64071,169.9044,0.02339132,-0.017768,-0.03318612,0.06422827,0.1654193,0.06596244,0.5584614,0.1216983,-0.43239,7.876228,351.6709,192.1797
208.991,-0.008507418,0.002153139,-0.001645535,0.01976229,0.05029664,0.005171106,0.2906778,0.8182142,-0.5183405,1.259228,358.3567,358.975,-0.01650745,0.007252911,0.001018833,-0.1134992,-0.1519163,-0.0980625,0.01484065,0.09513906,-0.5020435,18.62262,18.30913,170.0243,0.01885042,-0.0144683,-0.02896091,0.02061303,0.09511105,0.04654228,0.5584741,0.1216261,-0.4324279,7.759956,351.564,192.1984
223.412,-0.00835299,0.001452081,-0.0007721048,0.01992089,0.04753314,0.01684088,0.2905911,0.8182065,-0.5183166,1.243347,358.3342,358.9409,-0.02031591,0.01150002,0.005174901,-0.1857031,-0.2232446,-0.1593149,0.01469684,0.09534054,-0.5018848,18.37682,17.78553,170.2394,0.01650602,-0.01003515,-0.0261858,-0.01451682,0.06595138,0.04841114,0.5585943,0.1216334,-0.4326014,7.695408,351.5622,192.1723
